label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C101,36.0806289,140.0803286,0,256.499949,28304.440539,44344.072743,-221.251419,0.000000000,0.000000000,-0.993068405,0.117537839,2,2,0,0,1,355.620571054163,-264.406054531729,355.346809204671,-264.078960117679,50.3494121320916,0.426539923031181
C101-C5_1,36.0806263,140.0803152,0,257.159944,28303.234527,44343.780393,-221.244034,0.000000000,0.000000000,-0.993728894,0.111816301,2,2,0,0,1,354.415047096506,-264.695485208009,354.011300814686,-264.459791911476,50.105261365313,0.467506566920866
C101-C5_2,36.0806179,140.0802696,0,252.689268,28299.130324,44342.835215,-221.219250,0.000000000,0.000000000,-0.988611421,0.150490728,2,2,0,0,1,350.312667059663,-265.630568930527,350.101735319369,-265.332467387994,49.965501375727,0.365180405722794
C101-C5_3,36.0806079,140.0802299,0,250.340319,28295.558109,44341.714206,-221.195600,0.000000000,0.000000000,-0.985319117,0.170722691,2,2,0,0,1,346.741077426362,-266.743763838813,346.26579050128,-266.596182716366,49.4318187236918,0.497672431279762
C101-C5_4,36.0805956,140.0801873,0,252.401790,28291.725512,44340.337162,-221.169013,0.000000000,0.000000000,-0.988230771,0.152970399,2,2,0,0,1,342.908590814745,-268.112993575752,342.512075355849,-267.998354499251,49.2063902092003,0.412754923658208
C101-C5_5,36.0805855,140.0801479,0,253.191914,28288.180352,44339.205147,-221.145411,0.000000000,0.000000000,-0.989262022,0.146152835,2,2,0,0,1,339.363990519619,-269.237320432456,338.692335170927,-269.198753227438,48.7284272705337,0.672761723591176
C101-C5_6,36.0805751,140.0801053,0,254.964545,28284.347073,44338.038925,-221.120296,0.000000000,0.000000000,-0.991404429,0.130832942,2,2,0,0,1,335.531503908002,-270.395043136789,334.734316369728,-270.399750200042,48.3513031202795,0.79720143478466
C101-C5_7,36.0805657,140.080062,0,244.828898,28280.450385,44336.983460,-221.095675,0.000000000,0.000000000,-0.975971743,0.217897125,2,2,0,0,1,331.636042165451,-271.441446349819,330.834271858454,-271.301579485349,48.1833444853096,0.813878593501535
C101-C5_8,36.0805499,140.0800204,0,254.772301,28276.709108,44335.218360,-221.066796,0.000000000,0.000000000,-0.991183542,0.132495982,2,2,0,0,1,327.893520028058,-273.200294304341,327.165274372628,-273.091573694984,48.0034437599529,0.736316443895106
C101-C5_9,36.0805466,140.0800054,0,281.652316,28275.359231,44334.847883,-221.058235,0.000000000,0.000000000,-0.994834469,-0.101510493,2,2,0,0,1,326.544052912155,-273.567648624297,325.72112796178,-273.306272843436,47.9599920322758,0.863436606110325
C101-C5_10,36.0805493,140.0799892,0,270.000003,28273.899122,44335.142805,-221.053826,0.000000000,0.000000000,-1.000000000,-0.000000026,2,2,0,0,1,325.086628425651,-273.267085998807,324.269133093775,-273.157829394233,47.7015299032112,0.824763980349657
C5,36.0805493,140.0799792,0,270.000003,28272.998416,44335.139927,-221.049818,0.000000000,0.000000000,-1.000000000,-0.000000026,2,2,0,0,1,324.186983680864,-273.267085998807,323.371242193952,-273.171969318354,47.6133098786381,0.821268139142147
