label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C17,36.0798543,140.0813509,,347.924484,1,1,0,0,1,447.591253283501,-350.634132100169,443.878049803299,-351.358593539267,61.5494555327314,3.78321615323869
C17-C16_1,36.0798577,140.08135,,300.615481,1,1,0,0,1,447.510285256189,-350.255645831795,443.696999416575,-350.998082435,61.4397441078391,3.88488880206171
C17-C16_2,36.0798764,140.0813109,,294.365574,1,1,0,0,1,443.99267430691,-348.173971354154,440.294229522043,-348.844956303137,61.1058987206976,3.75881824892694
C17-C16_3,36.0798917,140.0812691,,309.402202,1,1,0,0,1,440.232159273137,-346.470783144887,436.712172683849,-346.99050702375,60.8771932803994,3.55814818396183
C17-C16_4,36.0799158,140.0812328,,316.396327,1,1,0,0,1,436.966448850148,-343.787983417057,433.495548813258,-344.364735443028,60.3855296344256,3.5184925700563
C17-C16_5,36.0799427,140.0812011,,325.450199,1,1,0,0,1,434.11457501063,-340.793489114527,430.879517262199,-341.239777109168,60.1743911554311,3.26569619068378
C17-C16_6,36.0799731,140.0811752,,329.935910,1,1,0,0,1,431.784495122629,-337.409376594413,428.780574395937,-337.694560222031,60.0057971680172,3.017427618636
C17-C16_7,36.0800027,140.081154,,332.630868,1,1,0,0,1,429.87724826501,-334.114319666392,426.940359579109,-334.138077159372,59.8564447648203,2.93698477555566
C17-C16_8,36.0800333,140.0811344,,332.017693,1,1,0,0,1,428.113944565636,-330.70794324865,425.325341592677,-330.38196358669,59.8341897773406,2.80759136642232
C16,36.0800441,140.0811273,,332.017693,1,1,0,0,1,427.475196796607,-329.505692748271,424.807557585694,-329.219166494466,59.740932795638,2.68298271588174
