label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C11,36.081562,140.0810206,,183.897620,2,2,0,0,1,417.875987372465,-160.533837672807,416.383344212619,-160.872902551282,49.8759063211217,1.53066932890429
C11-C12_1,36.0815276,140.0810177,,191.322916,2,2,0,0,1,417.615090396706,-164.363228155761,416.557632018747,-164.386932907048,50.4583299945113,1.05772403600822
C11-C12_2,36.0814941,140.0810094,,189.841932,2,2,0,0,1,416.868385259633,-168.092431097412,415.783907347055,-168.422198996818,50.2379760568074,1.13350748138165
C11-C12_3,36.0814559,140.0810012,,182.678883,2,2,0,0,1,416.13067656947,-172.344835645578,415.181710292691,-172.467707034867,50.5797031879795,0.956887857990008
C11-C12_4,36.0814179,140.080999,,198.774511,2,2,0,0,1,415.932754724645,-176.574976296116,414.809943742756,-176.48366803136,50.8571517137433,1.12651750996735
C11-C12_5,36.081382,140.0809839,,237.529388,2,2,0,0,1,414.574291161832,-180.571346015629,413.26119463188,-180.17988126362,51.0741565666042,1.37020697306478
C11-C12_6,36.0813802,140.0809804,,199.167705,2,2,0,0,1,414.259415499494,-180.771721099025,413.294417224248,-180.463828017232,51.1240662330221,1.0129263650655
C11-C12_7,36.0813616,140.0809724,,162.368483,2,2,0,0,1,413.53969970571,-182.842263627457,412.831064605788,-182.734593227042,51.0722533345745,0.716768177283989
C12,36.0813527,140.0809759,,162.368483,2,2,0,0,1,413.854575365491,-183.833007096021,413.119336924994,-183.647900986051,51.2067907464056,0.75818192825469
