label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C19,36.0796766,140.0813808,,342.056337,2,2,0,0,1,450.281191070952,-370.415605614338,445.966228627451,-371.866121108094,62.1915923962526,4.55224077641439
C19-C18_1,36.0797058,140.0813691,,332.912221,2,2,0,0,1,449.228606718451,-367.165076483155,444.763766275942,-368.124749771747,62.1506599388808,4.56681212640756
C19-C18_2,36.0797393,140.0813479,,322.674311,2,2,0,0,1,447.321359860832,-363.435873541504,443.22670588309,-364.392705145041,61.964440767843,4.20496348556916
C19-C18_3,36.0797676,140.0813212,,318.806973,2,2,0,0,1,444.91930839243,-360.285531952415,440.769829921439,-361.198902221395,61.5301455084435,4.24881357904442
C18,36.0797881,140.081299,,318.806973,2,2,0,0,1,442.922097060588,-358.003482390587,438.943076606414,-358.601129043337,61.5453975310217,4.02365322763767
