label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C18,36.0797881,140.081299,0,30.508899,28392.147185,44251.059955,-220.992676,0.000000000,0.000000000,0.496149079,0.868237347,1,1,0,0,1,442.922097060588,-358.003482390587,438.943076606414,-358.601129043337,61.5453975310217,4.02365322763767
C18-C17_1,36.079818,140.0813208,0,34.028620,28394.099992,44254.383877,-221.024497,0.000000000,0.000000000,0.469251026,0.883064819,1,1,0,0,1,444.883322602229,-354.67502961652,441.246777024601,-355.288967819945,61.7061166809034,3.6880054034388
C18-C17_2,36.079849,140.0813467,0,32.637855,28396.421694,44257.831037,-221.058819,0.000000000,0.000000000,0.479933708,0.877304756,1,1,0,0,1,447.21340249023,-351.22412540194,443.437755613921,-351.884794943481,61.564020589372,3.83301364173197
C17,36.0798543,140.0813509,0,32.637855,28396.798088,44258.420325,-221.064596,0.000000000,0.000000000,0.479933708,0.877304756,1,1,0,0,1,447.591253283501,-350.634132100169,443.878049803299,-351.358593539267,61.5494555327314,3.78321615323869
