label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C1,36.0815403,140.0796303,0,174.901874,28241.218408,44444.998180,-221.676287,0.000000000,0.000000000,-0.674958621,0.737855582,2,2,0,0,1,292.798378544677,-162.949470622775,293.876828338804,-158.27231659709,42.5718692797711,4.79987747119011
C1-C2_1,36.0815249,140.079632,0,184.862536,28241.377033,44443.289927,-221.665045,0.000000000,0.000000000,-0.736466369,0.676474159,2,2,0,0,1,292.95131815239,-164.663790781251,294.031644458383,-160.103464526553,42.5760676125245,4.68654248638679
C1-C2_2,36.0814888,140.0796282,0,181.082334,28241.047679,44439.283278,-221.635579,0.000000000,0.000000000,-0.713753868,0.700396613,2,2,0,0,1,292.60945314932,-168.682424399183,293.614797428834,-164.098611414789,42.7339647010729,4.69276662495061
C1-C2_3,36.0814503,140.0796273,0,187.671387,28240.980384,44435.011166,-221.605419,0.000000000,0.000000000,-0.752825106,0.658220601,2,2,0,0,1,292.528485122008,-172.968224794186,293.529764250991,-168.12317144221,43.1749269365124,4.9474338679391
C1-C2_4,36.0814161,140.0796216,0,184.389112,28240.479218,44431.214790,-221.576668,0.000000000,0.000000000,-0.733665304,0.679511017,2,2,0,0,1,292.015687617402,-176.775351379512,293.044579740194,-172.207999771723,43.1082756570785,4.68180731230086
C1-C2_5,36.0813803,140.0796182,0,191.151041,28240.185783,44427.241543,-221.547602,0.000000000,0.000000000,-0.772462316,0.635060604,2,2,0,0,1,291.709808404533,-180.760589149816,292.832274358096,-176.220509854167,43.325906679198,4.67677771843906
C1-C2_6,36.0813434,140.0796092,0,182.669533,28239.388352,44423.144634,-221.515445,0.000000000,0.000000000,-0.723386233,0.690443595,2,2,0,0,1,290.900128133969,-184.868278359841,292.0375962274,-180.272628617309,43.5328343121455,4.7343246846416
C1-C2_7,36.081307,140.0796071,0,189.257503,28239.212222,44419.105187,-221.486440,0.000000000,0.000000000,-0.761863444,0.647737673,2,2,0,0,1,290.711202738612,-188.920307825401,291.924883582758,-184.402698093681,43.7247767015744,4.6778006455578
C1-C2_8,36.0812713,140.0795999,0,180.895337,28238.576485,44415.141944,-221.455938,0.000000000,0.000000000,-0.712609971,0.701560424,2,2,0,0,1,290.063458522672,-192.894413646496,291.214061642179,-188.347118850285,43.8832120839303,4.69060523837457
C1-C2_9,36.0812351,140.0795992,0,190.766856,28238.526381,44411.125091,-221.427653,0.000000000,0.000000000,-0.770328845,0.637646823,2,2,0,0,1,290.000483389182,-196.924179212846,291.0638724887,-192.36206897786,44.0782612894146,4.68440456975499
C1-C2_10,36.0811994,140.0795908,0,185.659310,28237.782560,44407.161503,-221.396676,0.000000000,0.000000000,-0.741152164,0.671337076,2,2,0,0,1,289.244781805197,-200.898285034731,290.368416937653,-196.385609150986,44.2388625004447,4.65046229343117
C1-C2_11,36.0811627,140.0795863,0,185.176460,28237.390368,44403.088079,-221.366488,0.000000000,0.000000000,-0.738316806,0.674454071,2,2,0,0,1,288.839941668636,-204.983710346338,289.909368039266,-200.411638818809,44.4659419369734,4.69547769827945
C1-C2_12,36.0811288,140.0795825,0,176.999144,28237.060224,44399.325536,-221.338749,0.000000000,0.000000000,-0.688349157,0.725379513,2,2,0,0,1,288.498076665566,-208.757441084035,289.427642287688,-204.398734494706,44.4119189654166,4.45672698038569
C1-C2_13,36.0810918,140.0795849,0,187.265348,28237.289621,44395.220808,-221.311097,0.000000000,0.000000000,-0.750488073,0.660883993,2,2,0,0,1,288.713991404213,-212.876262244061,289.535509103008,-208.41153698648,44.710201299918,4.53967652538306
C1-C2_14,36.0810563,140.0795793,0,186.671805,28236.797922,44391.280217,-221.281405,0.000000000,0.000000000,-0.747054880,0.664762368,2,2,0,0,1,288.210190349075,-216.828104166736,288.931072602066,-212.436991463724,44.7926940619321,4.44989235748858
C1-C2_15,36.0810183,140.0795738,0,182.729096,28236.316124,44387.062261,-221.249822,0.000000000,0.000000000,-0.723745018,0.690067496,2,2,0,0,1,287.715385738292,-221.058244817274,288.480963316953,-216.484449868676,45.1885589533472,4.63742485230499
C1-C2_16,36.080981,140.0795716,0,187.078115,28236.131306,44382.922924,-221.220104,0.000000000,0.000000000,-0.749407243,0.662109345,2,2,0,0,1,287.517463893467,-225.210461823346,288.205505545861,-220.504377219671,45.4946349518399,4.75611539098658
