label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C12,36.0813527,140.0809759,,186.628563,1,1,0,0,1,413.854575365491,-183.833007096021,413.119336924994,-183.647900986051,51.2067907464056,0.75818192825469
C12-C13_1,36.0813221,140.0809715,,192.930846,1,1,0,0,1,413.458731678398,-187.239383513763,412.901605404772,-186.853226619109,51.5784094183439,0.677869332580023
C12-C13_2,36.0812869,140.0809615,,188.132288,1,1,0,0,1,412.559086933611,-191.157829590392,411.988414120122,-190.774833983757,51.6558924238493,0.687279488095546
C12-C13_3,36.0812524,140.0809554,,213.902579,1,1,0,0,1,412.010303638805,-194.998352022555,411.485471550898,-194.760774048669,51.6716109693393,0.576100697944579
C13,36.0812245,140.0809322,,213.902579,1,1,0,0,1,409.92312783274,-198.104165815598,409.561006945898,-197.880518849482,51.6707283062484,0.425616614031966
