label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C4,36.0815492,140.0798405,0,64.417872,28260.147817,44446.046151,-221.767363,0.000000000,0.000000000,0.221396408,0.975183896,2,2,0,0,1,311.708911073914,-161.958727155002,311.37994110295,-161.754938400895,39.8591198638994,0.386976870235061
C4-C102_1,36.0815557,140.0798573,0,53.994195,28261.658657,44446.772207,-221.779126,0.000000000,0.000000000,0.309065173,0.951040861,2,2,0,0,1,313.220314244441,-161.23515046509,312.906808716198,-160.799184076428,40.1842259036133,0.536984551251072
C4-C102_2,36.0815779,140.0798951,0,65.748840,28265.055335,44449.246333,-221.811459,0.000000000,0.000000000,0.210055078,0.977689554,2,2,0,0,1,316.620971378764,-158.763857769075,316.390478137125,-158.824324376225,40.0146525301649,0.238292561825809
C4-C102_3,36.0815929,140.0799363,0,67.479804,28268.760824,44450.922548,-221.839583,0.000000000,0.000000000,0.195263176,0.980750882,2,2,0,0,1,320.327507725958,-157.094065407437,319.961500274151,-156.92991705878,40.4395833154337,0.401131069782026
C4-C102_4,36.0816056,140.0799742,0,58.862268,28272.169906,44452.342612,-221.864606,0.000000000,0.000000000,0.268396407,0.963308553,2,2,0,0,1,323.737161307192,-155.680307874451,323.814873281331,-155.301281307876,41.1214662674348,0.38691121603577
C4-C102_5,36.0816243,140.0800125,0,56.012932,28275.612867,44454.428536,-221.894438,0.000000000,0.000000000,0.292263781,0.956337745,2,2,0,0,1,327.182800678627,-153.59863339602,327.291284295065,-153.143915521757,41.4554679777961,0.467479454318232
C4-C102_6,36.0816492,140.0800582,0,51.928081,28279.720119,44457.204527,-221.932039,0.000000000,0.000000000,0.326161509,0.945314059,2,2,0,0,1,331.294177162381,-150.826778075305,330.527402835031,-150.687066288932,41.0687169777558,0.779398647891459
C4-C102_7,36.0816718,140.0800939,0,51.044578,28282.927499,44459.722439,-221.963854,0.000000000,0.000000000,0.333440131,0.942771276,2,2,0,0,1,334.505908898791,-148.310957584034,333.885459076049,-148.44576885776,41.1102123201675,0.63492681630595
C4-C102_8,36.0816948,140.0801291,0,49.070770,28286.089699,44462.284591,-221.995780,0.000000000,0.000000000,0.349628840,0.936888293,2,2,0,0,1,337.672658400646,-145.750609295134,336.754255804429,-145.649382020228,41.4115755824854,0.92396444191552
C4-C102_9,36.0817215,140.0801672,0,48.405637,28289.511773,44465.258121,-222.031738,0.000000000,0.000000000,0.355060976,0.934843144,2,2,0,0,1,341.100304878259,-142.778378891023,340.19524795442,-143.517297360841,40.8914941324217,1.16838715348549
C4-C102_10,36.0817446,140.0801994,0,47.339069,28292.403726,44467.830507,-222.062545,0.000000000,0.000000000,0.363746581,0.931497947,2,2,0,0,1,343.997160954889,-140.206898653704,343.204627375014,-140.638072275519,41.4152241075153,0.902230661958545
C4-C102_11,36.0817694,140.0802327,0,46.672546,28295.394144,44470.591838,-222.095111,0.000000000,0.000000000,0.369158465,0.929366466,2,2,0,0,1,346.992977952652,-137.446175282199,346.420271734637,-138.16400940603,41.4485754263717,0.918301824830968
C4-C102_12,36.0817957,140.0802672,0,55.674848,28298.492106,44473.519951,-222.129324,0.000000000,0.000000000,0.295084026,0.955471307,2,2,0,0,1,350.096752321017,-134.518472674134,349.285020926373,-135.274489781544,41.5267625168469,1.10926539824581
C4-C102_13,36.0818154,140.0803029,0,34.302859,28301.700514,44475.716094,-222.158908,0.000000000,0.000000000,0.467136345,0.884185294,2,2,0,0,1,353.308484059983,-132.325478705981,352.634556019114,-132.939057948757,41.9681799414224,0.911404680388706
C4-C102_14,36.0818462,140.0803289,0,49.424883,28304.031271,44479.141068,-222.193201,0.000000000,0.000000000,0.346731985,0.937964248,2,2,0,0,1,355.647560394896,-128.89683838903,355.097333453826,-129.708944786771,41.9516317952666,0.980951827528557
C4-C102_15,36.0818698,140.080363,0,50.864921,28307.094167,44481.769485,-222.225170,0.000000000,0.000000000,0.334917800,0.942247349,2,2,0,0,1,358.715348975617,-126.269698406455,358.086774299307,-127.015455439737,42.2125564054464,0.975325420763947
C4-C102_16,36.081894,140.0803998,0,76.938223,28310.400033,44484.465255,-222.258689,0.000000000,0.000000000,0.113738838,0.993510683,2,2,0,0,1,362.026041633161,-123.575766729416,361.257254271872,-124.455824178885,42.2936684896717,1.16856113286576
C4-C102_17,36.0819018,140.0804414,0,90.654880,28314.144107,44485.342712,-222.281430,0.000000000,0.000000000,-0.005714875,0.999983670,2,2,0,0,1,365.768563770555,-122.707474701364,365.123894217293,-123.374167977174,42.9101954445274,0.927404311459755
C4-C102_18,36.0819014,140.0804847,0,95.248220,28318.044239,44485.310810,-222.298502,0.000000000,0.000000000,-0.045783350,0.998951393,2,2,0,0,1,369.664025515662,-122.75200249741,369.164517336591,-123.19044959951,43.5973534085527,0.664638459839656
C4-C102_19,36.081898,140.0805305,0,85.127874,28322.170619,44484.946760,-222.314256,0.000000000,0.000000000,0.042504511,0.999096275,2,2,0,0,1,373.78439844377,-123.130488766576,373.26985775728,-123.526039420907,44.0899743520339,0.64900881210912
C4-C102_20,36.0819011,140.0805755,0,90.955788,28326.222613,44485.303703,-222.334728,0.000000000,0.000000000,-0.008340727,0.999965216,2,2,0,0,1,377.832799794033,-122.785398345039,377.301290707262,-123.074790726012,44.6088739444209,0.605185805753486
