label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C14,36.0810179,140.0811195,0,107.188673,28375.537496,44387.463283,-221.869784,0.000000000,0.000000000,-0.149437607,0.988771157,2,2,0,0,1,426.773473896645,-221.102772613321,427.640261741925,-220.580607893545,55.4198616318494,1.01191756744571
C14-C21_1,36.0810177,140.0811203,0,88.410834,28375.609624,44387.441322,-221.869952,0.000000000,0.000000000,0.013867645,0.999903840,2,2,0,0,1,426.845445474489,-221.12503651174,428.037901759399,-220.693647988651,55.5198966688045,1.26808834442836
C14-C21_2,36.0810187,140.0811649,0,80.018749,28379.626388,44387.565164,-221.888668,0.000000000,0.000000000,0.086992748,0.996208945,2,2,0,0,1,430.857861037109,-221.013717020437,432.174476757287,-220.417954204252,56.120408222664,1.44513331141722
C14-C21_3,36.0810252,140.0812106,0,75.097588,28383.740251,44388.299590,-221.912081,0.000000000,0.000000000,0.129681815,0.991555660,2,2,0,0,1,434.969237518306,-220.290140330525,436.213922690276,-219.710487998076,56.4436056150404,1.37303969492424
C14-C21_4,36.0810349,140.0812557,0,68.523319,28387.798921,44389.388908,-221.937730,0.000000000,0.000000000,0.186324107,0.982488334,2,2,0,0,1,439.02663531548,-219.210341269868,440.118204476944,-218.513177963487,56.818931697846,1.29520651249992
C14-C21_5,36.0810487,140.0812991,0,63.698463,28391.702998,44390.932661,-221.965867,0.000000000,0.000000000,0.227514237,0.973774754,2,2,0,0,1,442.931093507498,-217.67413229716,443.754295528155,-216.80096364567,57.1536766776618,1.2000354414591
C14-C21_6,36.0810634,140.0813359,0,73.784073,28395.012287,44392.574369,-221.992046,0.000000000,0.000000000,0.141038833,0.990004064,2,2,0,0,1,446.241786167599,-216.03773578236,447.421372410939,-215.084994453413,57.6529793352461,1.51629144472943
C14-C21_7,36.0810744,140.0813827,0,85.284379,28399.223606,44393.808427,-222.019393,0.000000000,0.000000000,0.041139943,0.999153394,2,2,0,0,1,450.452123572487,-214.813221383561,451.376495602311,-213.689551014625,58.0449206050608,1.45502534257903
C21,36.0810749,140.0813902,0,85.284379,28399.898951,44393.866074,-222.022799,0.000000000,0.000000000,0.041139943,0.999153394,2,2,0,0,1,451.126857129159,-214.757561638305,451.891371658106,-213.60464267197,58.0594768925544,1.38336712694308
