label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C21,36.0810749,140.0813902,,70.430743,2,2,0,0,1,451.126857129159,-214.757561638305,451.891371658106,-213.60464267197,58.0594768925544,1.38336712694308
C21-C20_1,36.0810853,140.0814264,,50.521508,2,2,0,0,1,454.383571105238,-213.599838933972,455.075102136442,-212.135644640327,58.5756427148577,1.61928382214528
C21-C20_2,36.0811084,140.0814611,,47.808782,2,2,0,0,1,457.505338367424,-211.028358696654,457.967448178316,-209.205306825071,58.9848386004585,1.88070827184995
C21-C20_3,36.0811347,140.081497,,51.718646,2,2,0,0,1,460.735063000213,-208.10065608859,460.977748275314,-206.421195001403,58.955893343048,1.696904736903
C21-C20_4,36.0811583,140.081534,,32.695147,2,2,0,0,1,464.063748556692,-205.473516106015,464.108453348111,-203.745358855568,59.1381667777819,1.72873537611976
C21-C20_5,36.0811894,140.0815587,,37.455366,2,2,0,0,1,466.285871074092,-202.011479942226,466.126310655189,-200.271928045843,59.1383991516782,1.74685440935708
C21-C20_6,36.0812182,140.081586,,36.260012,2,2,0,0,1,468.741901226517,-198.805478607881,468.55633361856,-197.029322176628,59.2800143558059,1.78582390100636
C21-C20_7,36.0812485,140.0816135,,29.846557,2,2,0,0,1,471.215924275321,-195.432498036186,470.760378097399,-193.56333724398,59.3696845267677,1.92387223778971
C21-C20_8,36.0812816,140.081637,,47.726981,2,2,0,0,1,473.330089424676,-191.747822891372,472.555437136428,-189.904310498141,59.2896008062588,1.99965599833688
C20,36.0812852,140.0816419,,47.726981,2,2,0,0,1,473.77091534888,-191.347072724579,473.069151722069,-189.644881554537,59.2206895280827,1.84117543088197
