label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C13,36.0812245,140.0809322,,247.128929,2,2,0,0,1,409.92312783274,-198.104165815598,409.561006945898,-197.880518849482,51.6707283062484,0.425616614031966
C13-C8_1,36.081223,140.0809278,,264.112926,2,2,0,0,1,409.52728414309,-198.271145051366,409.19577961808,-198.058581132315,51.6431940681333,0.393800291752699
C13-C8_2,36.0812225,140.0809218,,273.932402,2,2,0,0,1,408.987497297752,-198.326804797413,408.642700319957,-198.072384361829,51.6209437218005,0.428502875065322
C13-C8_3,36.0812228,140.0809164,,278.792154,2,2,0,0,1,408.501689136436,-198.293408949785,408.045499056145,-197.892521347744,51.6448716406586,0.607305737520859
C13-C8_4,36.081223,140.0809148,,274.162928,2,2,0,0,1,408.357745975634,-198.271145051366,407.842986037626,-197.81937449729,51.64586104635,0.684890084106686
C13-C8_5,36.0812231,140.0809131,,268.135020,2,2,0,0,1,408.204806370478,-198.260013102947,407.787043106545,-197.83386856929,51.653327574259,0.596762354926645
C13-C8_6,36.0812224,140.0808865,,281.328215,2,2,0,0,1,405.811751348986,-198.337936745831,405.343801983727,-197.785971078008,51.4981928134768,0.72363160993827
C13-C8_7,36.0812241,140.080876,,255.836946,2,2,0,0,1,404.867124367087,-198.148693611644,404.430408657892,-197.562912799073,51.4367737523463,0.730657081697385
C13-C8_8,36.081221,140.0808608,,281.375709,2,2,0,0,1,403.499664354806,-198.493784033181,402.977345335949,-198.008098489586,51.1845152695175,0.713237411187865
C13-C8_9,36.081225,140.0808362,,272.200617,2,2,0,0,1,401.286538284318,-198.048506070341,400.075229265,-199.70973450488,48.7242538424645,2.05595463276785
C13-C8_10,36.0812255,140.0808201,,287.070574,2,2,0,0,1,399.838110244724,-197.992846325085,398.454127297224,-199.878623335981,48.2935110784933,2.33913739096153
C13-C8_11,36.0812289,140.0808064,,273.066106,2,2,0,0,1,398.605596946335,-197.61436005592,397.549375061144,-198.822023377922,48.9008158901322,1.60438629078709
C13-C8_12,36.0812299,140.0807833,,276.931081,2,2,0,0,1,396.527417587181,-197.503040565408,395.92894141965,-198.307836916726,49.2594028377252,1.00293114928033
C13-C8_13,36.0812327,140.0807548,,278.445644,2,2,0,0,1,393.963430064154,-197.191345990708,393.35186717913,-198.588447593928,48.462987603067,1.52509083403553
C13-C8_14,36.081233,140.0807523,,274.094359,2,2,0,0,1,393.738518878596,-197.157950143871,392.997797685117,-198.558431324859,48.3710355842348,1.584302819783
C13-C8_15,36.0812337,140.0807402,,278.445645,2,2,0,0,1,392.649948735896,-197.080026500196,391.893550573151,-198.134544051039,48.5489577838071,1.29774629478908
C13-C8_16,36.081234,140.0807377,,275.289958,2,2,0,0,1,392.425037550338,-197.046630653359,391.652083865034,-198.023137626789,48.5839662658876,1.24540084662838
C13-C8_17,36.0812351,140.080723,,273.515176,2,2,0,0,1,391.102559777725,-196.924179212846,390.516414648183,-197.720818375053,48.6924118266019,0.989039972724736
C13-C8_18,36.0812358,140.0807089,,280.409767,2,2,0,0,1,389.834060686578,-196.846255569171,389.03095268261,-197.936740790029,48.1969301860013,1.35430442772186
C13-C8_19,36.0812392,140.080686,,264.819310,2,2,0,0,1,387.773874221246,-196.467769300797,386.869997340824,-197.764386117109,47.7398758151817,1.58057223286571
