label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1041,36.0811331,140.0803901,,140.357090,2,2,0,0,1,-1,361.153386231663,-208.278767274358,,,,,,,,,,,,,,,,
1042,36.0811053,140.0804186,,130.763031,2,2,0,0,1,-1,363.71737375469,-211.373449118191,,,,,,,,,,,,,,,,
1043,36.0810821,140.0804519,,130.123212,2,2,0,0,1,-1,366.713190752453,-213.956061304719,,,,,,,,,,,,,,,,
1044,36.0810601,140.0804842,,126.688512,2,2,0,0,1,-1,369.61904327855,-216.405090102316,,,,,,,,,,,,,,,,
1045,36.0810377,140.0805214,,135.820945,2,2,0,0,1,-1,372.965721726295,-218.898646695959,,,,,,,,,,,,,,,,
1046,36.0810125,140.0805517,,132.039643,2,2,0,0,1,-1,375.691645303946,-221.703897863511,,,,,,,,,,,,,,,,
1047,36.0809894,140.0805834,,134.121830,2,2,0,0,1,-1,378.543519143463,-224.275378100829,,,,,,,,,,,,,,,,
1048,36.0809633,140.0806167,,137.259328,2,2,0,0,1,-1,381.539336143783,-227.180816810475,,,,,,,,,,,,,,,,
1049,36.0809375,140.0806462,,145.138219,2,2,0,0,1,-1,384.193288138476,-230.052859673284,,,,,,,,,,,,,,,,
1050,36.0809078,140.0806718,,154.507903,2,2,0,0,1,-1,386.496378685745,-233.359048549723,,,,,,,,,,,,,,,,
1051,36.0808739,140.0806918,,165.481937,2,2,0,0,1,-1,388.295668172762,-237.13277928742,,,,,,,,,,,,,,,,
1052,36.0808352,140.0807042,,165.001580,2,2,0,0,1,-1,389.411227656196,-241.440843581633,,,,,,,,,,,,,,,,
1053,36.0807987,140.0807163,,186.709087,2,2,0,0,1,-1,390.499797798897,-245.504004995612,,,,,,,,,,,,,,,,
1054,36.0807616,140.0807109,,239.262511,2,2,0,0,1,-1,390.013989635024,-249.633958104056,,,,,,,,,,,,,,,,
1055,36.0807418,140.0806697,,260.042197,2,2,0,0,1,-1,386.307453287831,-251.838084021418,,,,,,,,,,,,,,,,
1056,36.0807355,140.0806253,,245.696913,2,2,0,0,1,-1,382.31303062159,-252.539396813702,,,,,,,,,,,,,,,,
1057,36.0807205,140.0805842,,247.290186,2,2,0,0,1,-1,378.615490723865,-254.20918917534,,,,,,,,,,,,,,,,
1058,36.0807067,140.0805434,,249.146229,2,2,0,0,1,-1,374.944940164315,-255.745398148047,,,,,,,,,,,,,,,,
1059,36.0806934,140.0805002,,252.849475,2,2,0,0,1,-1,371.058474868676,-257.225947375498,,,,,,,,,,,,,,,,
1060,36.0806828,140.0804577,,252.198286,2,2,0,0,1,-1,367.23498470397,-258.40593397825,,,,,,,,,,,,,,,,
1061,36.0806712,140.080413,,254.608567,2,2,0,0,1,-1,363.213572696996,-259.697240071513,,,,,,,,,,,,,,,,
1062,36.0806617,140.0803703,,244.096305,2,2,0,0,1,-1,359.372089638468,-260.754775233752,,,,,,,,,,,,,,,,
1063,36.080646,140.0803303,,222.942536,2,2,0,0,1,-1,355.773510659319,-262.502491239066,,,,,,,,,,,,,,,,
1064,36.0806427,140.0803265,,167.347055,2,2,0,0,1,-1,355.431645656249,-262.869845559021,,,,,,,,,,,,,,,,
1065,36.0806409,140.080327,,71.352769,2,2,0,0,1,-1,355.476627893361,-263.070220642418,,,,,,,,,,,,,,,,
1066,36.0806526,140.0803699,,62.737981,2,2,0,0,1,-1,359.336103848267,-261.767782599945,,,,,,,,,,,,,,,,
1067,36.0806693,140.08041,,73.686725,2,2,0,0,1,-1,362.943679274327,-259.908747104119,,,,,,,,,,,,,,,,
1068,36.0806794,140.0804527,,69.925384,2,2,0,0,1,-1,366.785162332854,-258.784420246624,,,,,,,,,,,,,,,,
1069,36.0806921,140.0804957,,69.620642,2,2,0,0,1,-1,370.653634734672,-257.370662713638,,,,,,,,,,,,,,,,
1070,36.0807051,140.080539,,72.047788,2,2,0,0,1,-1,374.549096477222,-255.923509333816,,,,,,,,,,,,,,,,
1071,36.0807167,140.0805833,,79.028260,2,2,0,0,1,-1,378.534522696552,-254.632203240552,,,,,,,,,,,,,,,,
1072,36.0807235,140.0806267,,71.300874,2,2,0,0,1,-1,382.438980886014,-253.875230703012,,,,,,,,,,,,,,,,
1073,36.0807357,140.0806713,,60.545143,2,2,0,0,1,-1,386.451396448633,-252.517132915283,,,,,,,,,,,,,,,,
1074,36.0807535,140.0807103,,29.648116,2,2,0,0,1,-1,389.960010951002,-250.535645978945,,,,,,,,,,,,,,,,
1075,36.0807792,140.0807284,,350.818271,2,2,0,0,1,-1,391.588367939041,-247.674735066137,,,,,,,,,,,,,,,,
1076,36.0808162,140.080721,,348.515920,2,2,0,0,1,-1,390.922630826722,-243.555913906111,,,,,,,,,,,,,,,,
1077,36.0808524,140.0807119,,340.534846,2,2,0,0,1,-1,390.103954109248,-239.526148339761,,,,,,,,,,,,,,,,
1078,36.0808867,140.0806969,,326.969073,2,2,0,0,1,-1,388.754486993345,-235.707889805225,,,,,,,,,,,,,,,,
1079,36.0809179,140.0806718,,319.677731,2,2,0,0,1,-1,386.496378685745,-232.234721693018,,,,,,,,,,,,,,,,
1080,36.0809478,140.0806404,,311.275725,2,2,0,0,1,-1,383.67149418696,-228.90626891816,,,,,,,,,,,,,,,,
