label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
405,36.0820173,140.0824341,0,91.326272,28493.582934,44498.734470,-223.173352,0.000000000,0.000000000,-0.011573648,0.999933023,0,0,0,0,1,-1
406,36.0820164,140.0824822,0,89.999986,28497.915571,44498.648562,-223.192086,0.000000000,0.000000000,0.000000122,1.000000000,0,0,0,0,1,-1
407,36.0820164,140.0825304,0,84.446107,28502.256890,44498.662546,-223.211561,0.000000000,0.000000000,0.048447887,0.998825712,0,0,0,0,1,-1
408,36.0820204,140.0825813,0,114.838181,28506.839951,44499.121145,-223.235230,0.000000000,0.000000000,-0.215060735,0.976600676,0,0,0,0,1,-1
409,36.082005099999996,140.0826222,0,90.159661,28510.529291,44497.435370,-223.239902,0.000000000,0.000000000,-0.001393305,0.999999029,0,0,0,0,1,-1
410,36.082004999999995,140.08266659999998,0,83.498211,28514.528385,44497.437161,-223.257772,0.000000000,0.000000000,0.056708374,0.998390785,0,0,0,0,1,-1
411,36.0820092,140.0827122,0,39.421197,28518.634009,44497.916420,-223.279462,0.000000000,0.000000000,0.427190620,0.904161586,0,0,0,0,1,-1
412,36.0820267,140.08273,0,5.503986,28520.230915,44499.863339,-223.300223,0.000000000,0.000000000,0.672341059,0.740241515,0,0,0,0,1,-1
413,36.0820527,140.08273309999998,0,356.172179,28520.500738,44502.749127,-223.321629,0.000000000,0.000000000,-0.730328143,-0.683096482,0,0,0,0,1,-1
414,36.0820986,140.08272929999998,0,327.335213,28520.141900,44507.840960,-223.355673,0.000000000,0.000000000,-0.877417529,-0.479727506,0,0,0,0,1,-1
415,36.0821165,140.0827151,0,31.676715,28518.856459,44509.822972,-223.363808,0.000000000,0.000000000,0.487275159,0.873248486,0,0,0,0,1,-1
416,36.082146099999996,140.0827377,0,354.294706,28520.881322,44513.113868,-223.395894,0.000000000,0.000000000,-0.741421503,-0.671039608,0,0,0,0,1,-1
417,36.0821914,140.0827321,0,99.321373,28520.360577,44518.138604,-223.428754,0.000000000,0.000000000,-0.081254647,0.996693374,0,0,0,0,1,-1
418,36.0821888,140.0827517,0,348.000528,28522.126862,44517.855806,-223.434663,0.000000000,0.000000000,-0.777143062,-0.629323972,0,0,0,0,1,-1
419,36.082221499999996,140.0827431,0,328.778712,28521.340461,44521.481610,-223.456542,0.000000000,0.000000000,-0.871304993,-0.490741897,0,0,0,0,1,-1
420,36.0822219,140.0827428,0,307.310388,28521.313296,44521.525906,-223.456731,0.000000000,0.000000000,-0.947460711,-0.319872163,0,0,0,0,1,-1
421,36.082231199999995,140.0827277,0,188.461725,28519.949901,44522.553424,-223.457837,0.000000000,0.000000000,-0.757346912,0.653012752,0,0,0,0,1,-1
422,36.082211099999995,140.08272399999998,0,167.697636,28519.623906,44520.322110,-223.440755,0.000000000,0.000000000,-0.627267607,0.778803794,0,0,0,0,1,-1
423,36.0821733,140.0827342,0,188.104961,28520.556258,44516.130888,-223.415569,0.000000000,0.000000000,-0.755310186,0.655367472,0,0,0,0,1,-1
424,36.0821506,140.0827302,0,185.787457,28520.204181,44513.610997,-223.396351,0.000000000,0.000000000,-0.741902453,0.670507830,0,0,0,0,1,-1
425,36.0821203,140.08272639999998,0,160.995693,28519.872863,44510.247890,-223.371323,0.000000000,0.000000000,-0.580672356,0.814137344,0,0,0,0,1,-1
426,36.0820966,140.08273649999998,0,169.076396,28520.791117,44507.621136,-223.357034,0.000000000,0.000000000,-0.636592506,0.771200351,0,0,0,0,1,-1
427,36.0820296,140.0827525,0,215.337559,28522.256416,44500.191648,-223.311568,0.000000000,0.000000000,-0.888367182,0.459133694,0,0,0,0,1,-1
428,36.0819864,140.0827146,0,283.101324,28518.858408,44495.387292,-223.262762,0.000000000,0.000000000,-0.993471371,-0.114081704,0,0,0,0,1,-1
429,36.0819924,140.0826827,0,294.111105,28515.983044,44496.043774,-223.254515,0.000000000,0.000000000,-0.977945555,-0.208859979,0,0,0,0,1,-1
430,36.081994099999996,140.082678,0,319.573651,28515.559106,44496.231037,-223.253933,0.000000000,0.000000000,-0.907873903,-0.419243338,0,0,0,0,1,-1
431,36.0820052,140.0826663,0,272.749543,28514.501292,44497.459266,-223.257806,0.000000000,0.000000000,-0.999712151,-0.023991987,0,0,0,0,1,-1
432,36.082006899999996,140.08262249999999,0,275.173363,28510.555662,44497.635180,-223.241419,0.000000000,0.000000000,-0.998981088,-0.045130775,0,0,0,0,1,-1
433,36.082009,140.08259379999998,0,274.911222,28507.969927,44497.859860,-223.231446,0.000000000,0.000000000,-0.999081715,-0.042845378,0,0,0,0,1,-1
434,36.0820095,140.08258659999998,0,307.184582,28507.321251,44497.913249,-223.228924,0.000000000,0.000000000,-0.947811317,-0.318831787,0,0,0,0,1,-1
435,36.0820198,140.0825698,0,301.584677,28505.804376,44499.051234,-223.230118,0.000000000,0.000000000,-0.962254394,-0.272151578,0,0,0,0,1,-1
436,36.0820278,140.0825537,0,281.466601,28504.351379,44499.934219,-223.229812,0.000000000,0.000000000,-0.994997677,-0.099898063,0,0,0,0,1,-1
437,36.082028799999996,140.0825476,0,251.893825,28503.801599,44500.043407,-223.228122,0.000000000,0.000000000,-0.987542972,0.157349542,0,0,0,0,1,-1
438,36.0820237,140.0825283,0,267.955818,28502.065110,44499.471925,-223.216371,0.000000000,0.000000000,-0.999840892,0.017837907,0,0,0,0,1,-1
439,36.0820231,140.0825075,0,264.807276,28500.191895,44499.399315,-223.207501,0.000000000,0.000000000,-0.998973448,0.045299558,0,0,0,0,1,-1
440,36.0820205,140.0824721,0,273.041727,28497.004396,44499.100556,-223.191184,0.000000000,0.000000000,-0.999647727,-0.026540959,0,0,0,0,1,-1
441,36.0820212,140.0824558,0,255.670022,28495.536021,44499.173498,-223.185141,0.000000000,0.000000000,-0.992191102,0.124726971,0,0,0,0,1,-1
442,36.082018,140.0824403,0,286.034953,28494.141108,44498.813938,-223.176399,0.000000000,0.000000000,-0.990225572,-0.139475148,0,0,0,0,1,-1
443,36.082027499999995,140.08239939999999,0,282.023628,28490.453864,44499.856169,-223.167242,0.000000000,0.000000000,-0.994500321,-0.104733525,0,0,0,0,1,-1
444,36.0820296,140.0823872,0,276.685886,28489.354267,44500.085641,-223.163942,0.000000000,0.000000000,-0.998298392,-0.058312265,0,0,0,0,1,-1
445,36.0820305,140.0823777,0,271.466483,28488.498288,44500.182747,-223.160803,0.000000000,0.000000000,-0.999918113,-0.012797129,0,0,0,0,1,-1
446,36.0820308,140.0823632,0,266.907150,28487.192181,44500.211829,-223.155179,0.000000000,0.000000000,-0.999635786,0.026986931,0,0,0,0,1,-1
447,36.0820298,140.0823403,0,294.506730,28485.129966,44500.094231,-223.145156,0.000000000,0.000000000,-0.977218644,-0.212235065,0,0,0,0,1,-1
448,36.0820305,140.0823384,0,267.785630,28484.958582,44500.171350,-223.144931,0.000000000,0.000000000,-0.999813297,0.019322821,0,0,0,0,1,-1
449,36.082029999999996,140.08232239999998,0,234.478500,28483.517661,44500.111232,-223.138083,0.000000000,0.000000000,-0.952338583,0.305042985,0,0,0,0,1,-1
450,36.0820285,140.0823198,0,234.478500,28483.284023,44499.944042,-223.135870,0.000000000,0.000000000,-0.952338583,0.305042985,0,0,0,0,1,-1
451,36.0820285,140.0823198,0,289.669863,28483.284023,44499.944042,-223.135870,0.000000000,0.000000000,-0.985303944,-0.170810241,0,0,0,0,1,-1
452,36.0820298,140.0823153,0,266.654427,28482.878244,44500.086982,-223.135061,0.000000000,0.000000000,-0.999573838,0.029191485,0,0,0,0,1,-1
453,36.0820292,140.0823026,0,272.562988,28481.734586,44500.016725,-223.129468,0.000000000,0.000000000,-0.999749885,-0.022364425,0,0,0,0,1,-1
454,36.082030599999996,140.0822639,0,268.049510,28478.248417,44500.160845,-223.114927,0.000000000,0.000000000,-0.999855142,0.017020414,0,0,0,0,1,-1
455,36.0820303,140.08225299999998,0,266.067559,28477.266775,44500.124398,-223.110294,0.000000000,0.000000000,-0.999411229,0.034310286,0,0,0,0,1,-1
456,36.0820302,140.0822512,0,274.215931,28477.104687,44500.112780,-223.109490,0.000000000,0.000000000,-0.999323290,-0.036782639,0,0,0,0,1,-1
457,36.0820316,140.0822277,0,275.579309,28474.987564,44500.261308,-223.101088,0.000000000,0.000000000,-0.998814942,-0.048669422,0,0,0,0,1,-1
458,36.0820352,140.08218209999998,0,277.735915,28470.879127,44500.647536,-223.085472,0.000000000,0.000000000,-0.997722160,-0.067457328,0,0,0,0,1,-1
459,36.0820398,140.0821402,0,293.416220,28467.103584,44501.145796,-223.072126,0.000000000,0.000000000,-0.979194097,-0.202925899,0,0,0,0,1,-1
460,36.0820405,140.0821382,0,276.103574,28466.923194,44501.222887,-223.071862,0.000000000,0.000000000,-0.998581823,-0.053238550,0,0,0,0,1,-1
461,36.082043999999996,140.0820977,0,274.162974,28463.274145,44501.599501,-223.058231,0.000000000,0.000000000,-0.999340182,-0.036320811,0,0,0,0,1,-1
462,36.082044499999995,140.08208919999998,0,291.323518,28462.508379,44501.652517,-223.055189,0.000000000,0.000000000,-0.982736497,-0.185010747,0,0,0,0,1,-1
