label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,35.6497271,139.5025968,0,107.100829,0,0,0,0,1,-1,4.20628243673241,-0.033395846837277,3.98021066404295,-0.705587034005115,0.171319371157232,0.709189282570642
1,35.6497169,139.5026376,0,106.554694,0,0,0,0,1,-1,7.89695605835758,-1.16885465275122,7.95727492517047,-1.51938687684454,0.922968487382095,0.355684137714071
2,35.6497069,139.502679,0,96.706770,0,0,0,0,1,-1,11.6419042939937,-2.28204956103729,11.8737711396915,-2.53880050125019,1.68461679354222,0.345952712713808
3,35.6497026,139.502724,0,102.554030,0,0,0,0,1,-1,15.7125002008407,-2.76072337150539,15.8868536124498,-3.04446988084065,2.26141562496942,0.333033322206158
4,35.649695,139.502766,0,96.595758,0,0,1,0,1,-1,19.5117230453458,-3.6067515011384,19.7980222797968,-3.90869225095861,2.88851009089648,0.41609550351961
5,35.6496908,139.5028107,0,98.977691,0,0,0,0,1,-1,23.5551816477582,-4.07429336239708,23.8413759437793,-4.43349807893171,3.45808615464004,0.459276826604307
6,35.6496851,139.5028551,0,101.342218,0,0,0,0,1,-1,27.5715029431652,-4.70881446021506,27.8309815991518,-5.02686792818809,4.11652635384677,0.410471900868123
7,35.6496777,139.5029005,0,101.484405,0,0,0,0,1,-1,31.6782819225916,-5.5325786922202,31.8890933579361,-5.84748841552335,4.75484687973635,0.378958566472476
8,35.6496707,139.5029429,0,113.994764,0,0,0,0,1,-1,35.513687844818,-6.31181512738768,35.8423409753468,-6.68286442966767,5.34660044881701,0.495671731016478
9,35.6496622,139.5029664,0,175.328535,0,0,0,0,1,-1,37.6394434848317,-7.25803079911446,37.9208086611805,-7.75485227867051,5.56932980777265,0.570962297363006
10,35.6496264,139.50297,0,178.049984,0,0,0,0,1,-1,37.9650911586136,-11.2432685702091,38.2894083379562,-11.7583821860219,5.81078291366983,0.608706554928171
11,35.6495906,139.5029715,0,180.261562,0,0,0,0,1,-1,38.100777688499,-15.2285063405128,38.5768713657601,-15.7646662796842,6.14433683069741,0.717030452561314
12,35.6495728,139.5029714,0,221.928068,0,0,0,0,1,-1,38.0917319203542,-17.2099932760597,38.496914544832,-17.7056986687005,6.28666523550854,0.640231829474245
13,35.6495709,139.5029693,0,241.323838,0,0,1,0,1,1,37.9017707764578,-17.4215003086657,38.4392131668768,-17.787614926248,6.45933953575546,0.650295499159206
14,35.6495705,139.5029684,0,272.818105,0,0,0,0,1,-1,37.8203588580123,-17.4660281055034,38.2444363470027,-17.7766832150949,6.43354227871883,0.525688418917218
15,35.6495706,139.5029659,0,272.114330,0,0,0,0,1,-1,37.5942146415366,-17.454896156294,38.116703660518,-17.7448382761173,6.47472382233878,0.597545988024127
16,35.6495712,139.5029459,0,280.906953,0,0,0,0,1,-1,35.7850609045888,-17.3881044618285,36.3025412918276,-17.5334723538748,6.34266519716533,0.537510721023087
17,35.6495756,139.5029178,0,272.585750,0,0,0,0,1,-1,33.2431999067739,-16.898298702151,33.6527581439605,-16.9244427135128,5.99941011604428,0.410391835904967
18,35.649576,139.5029069,0,279.970895,0,0,0,0,1,-1,32.2572111198546,-16.8537709061043,32.7227458576277,-16.8643964717673,5.9094572083382,0.465655983231354
19,35.6495766,139.5029027,0,274.321321,0,0,0,0,1,-1,31.8772888346328,-16.7869792116387,32.3511419427376,-16.8882295977896,5.78573778105945,0.484549696890096
