id,lat,lon
C0,35.649726,139.502529
C1,35.649705,139.502695
C2,35.64977,139.502813
C3,35.649678,139.502894
C4,35.649622,139.502974
C5,35.649578,139.502872
C6,35.649513,139.502754
C7,35.649604,139.502668
