index,lat,lon
0,36.0819084,140.079685
1,36.0820222,140.0798431
2,36.0819612,140.0810918
3,36.0813385,140.0810361
4,36.0811719,140.0834316
5,36.0811541,140.0834274
6,36.0809776,140.0833857
7,36.08098,140.0833522
8,36.0809834,140.0833221
9,36.0811102,140.0832742
10,36.0811207,140.0830893
11,36.0811897,140.08187
12,36.0811557,140.0817216
13,36.0811144,140.0816279
14,36.0810812,140.0815863
15,36.081069,140.0815406
16,36.0810789,140.0815168
17,36.0810738,140.0814877
18,36.0810552,140.0814609
19,36.0810816,140.0814244
20,36.0812528,140.0815526
21,36.0812921,140.0809633
22,36.0813125,140.08095
23,36.0815631,140.0809839
24,36.0817771,140.0807612
25,36.08172,140.0806861
26,36.0817489,140.0806512
27,36.0817527,140.0806132
28,36.0817501,140.0805852
29,36.0817381,140.0805549
30,36.0817136,140.0805278
31,36.0816658,140.080511
32,36.0816291,140.0805079
33,36.0815902,140.0805011
34,36.081589,140.0803584
35,36.0815638,140.0803476
36,36.0815638,140.0802623
37,36.0815155,140.0801846
38,36.0815398,140.0798531
39,36.081551,140.0796516
40,36.0819084,140.079685
