index,lat,lon
0,36.0819668,140.0796564
1,36.0820441,140.079755
2,36.0820066,140.0804445
3,36.0819768,140.0810797
4,36.0818851,140.0826385
5,36.0818536,140.0831407
6,36.0818422,140.0833387
7,36.0818237,140.0834322
8,36.0817856,140.0835106
9,36.0817263,140.0835808
10,36.0816651,140.0836274
11,36.0815845,140.0836459
12,36.081149,140.0836076
13,36.0795637,140.0834209
14,36.0795279,140.083358
15,36.0795039,140.0833159
16,36.0794891,140.0832899
17,36.079468,140.0832486
18,36.0795297,140.0823652
19,36.0795622,140.0818999
20,36.0795967,140.081406
21,36.0796167,140.0811201
22,36.0797275,140.0795196
23,36.0797707,140.0794701
24,36.0798036,140.0794331
25,36.0805541,140.0795109
26,36.0819668,140.0796564
