label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C10,36.079991,140.080895,0,78.443832,28355.685483,44273.456480,-220.986592,0.000000000,0.000000000,0.100675742,0.994919291,0,0,0,0,0
C10-C16_1,36.080000749999996,140.080954,0,78.443830,28360.996182,44274.555346,-221.017830,0.000000000,0.000000000,0.100675759,0.994919289,0,0,0,0,0
C10-C16_2,36.0800105,140.08101299999998,0,78.443829,28366.306879,44275.654214,-221.049074,0.000000000,0.000000000,0.100675768,0.994919288,0,0,0,0,0
C10-C16_3,36.080020250000004,140.081072,0,78.443828,28371.617575,44276.753087,-221.080322,0.000000000,0.000000000,0.100675776,0.994919287,0,0,0,0,0
C16,36.08003,140.081131,0,78.443828,28376.928270,44277.851962,-221.111574,0.000000000,0.000000000,0.100675776,0.994919287,0,0,0,0,0
