label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C18,36.07977,140.081287,0,151.239768,28391.072834,44249.048161,-220.973895,0.000000000,0.000000000,-0.509340098,0.860565317,0,0,0,0,0
C18-C19_1,36.079725333333336,140.08131733333335,0,151.239754,28393.821060,44244.100839,-220.951681,0.000000000,0.000000000,-0.509339993,0.860565379,0,0,0,0,0
C18-C19_2,36.07968066666667,140.08134766666666,0,151.239740,28396.569288,44239.153518,-220.929473,0.000000000,0.000000000,-0.509339888,0.860565441,0,0,0,0,0
C19,36.079636,140.081378,0,151.239740,28399.317520,44234.206198,-220.907269,0.000000000,0.000000000,-0.509339888,0.860565441,0,0,0,0,0
