label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C8,36.081235,140.080326,0,149.406644,28303.989129,44411.323171,-221.718875,0.000000000,0.000000000,-0.495509031,0.868602786,0,0,0,0,0
C8-C9_1,36.08119430769231,140.08035576923078,0,149.406631,28306.685023,44406.816643,-221.699345,0.000000000,0.000000000,-0.495508932,0.868602843,0,0,0,0,0
C8-C9_2,36.081153615384615,140.08038553846154,0,149.406618,28309.380919,44402.310116,-221.679819,0.000000000,0.000000000,-0.495508834,0.868602899,0,0,0,0,0
C8-C9_3,36.08111292307692,140.0804153076923,0,149.406605,28312.076818,44397.803590,-221.660297,0.000000000,0.000000000,-0.495508735,0.868602955,0,0,0,0,0
C8-C9_4,36.08107223076923,140.0804450769231,0,149.406592,28314.772720,44393.297065,-221.640779,0.000000000,0.000000000,-0.495508637,0.868603011,0,0,0,0,0
C8-C9_5,36.08103153846154,140.08047484615386,0,149.406579,28317.468624,44388.790541,-221.621266,0.000000000,0.000000000,-0.495508538,0.868603067,0,0,0,0,0
C8-C9_6,36.080990846153846,140.08050461538463,0,149.406566,28320.164531,44384.284017,-221.601757,0.000000000,0.000000000,-0.495508439,0.868603124,0,0,0,0,0
C8-C9_7,36.08095015384615,140.0805343846154,0,149.406553,28322.860441,44379.777494,-221.582253,0.000000000,0.000000000,-0.495508341,0.868603180,0,0,0,0,0
C8-C9_8,36.08090946153846,140.08056415384615,0,149.406540,28325.556354,44375.270972,-221.562753,0.000000000,0.000000000,-0.495508242,0.868603236,0,0,0,0,0
C8-C9_9,36.08086876923077,140.08059392307692,0,149.406527,28328.252269,44370.764451,-221.543257,0.000000000,0.000000000,-0.495508144,0.868603292,0,0,0,0,0
C8-C9_10,36.080828076923076,140.0806236923077,0,149.406514,28330.948187,44366.257931,-221.523765,0.000000000,0.000000000,-0.495508045,0.868603349,0,0,0,0,0
C8-C9_11,36.080787384615384,140.08065346153847,0,149.406501,28333.644108,44361.751411,-221.504278,0.000000000,0.000000000,-0.495507947,0.868603405,0,0,0,0,0
C8-C9_12,36.08074669230769,140.08068323076924,0,149.406488,28336.340032,44357.244893,-221.484796,0.000000000,0.000000000,-0.495507848,0.868603461,0,0,0,0,0
C9,36.080706,140.080713,0,149.406488,28339.035958,44352.738375,-221.465317,0.000000000,0.000000000,-0.495507848,0.868603461,0,0,0,0,0
