label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C9,36.080706,140.080713,0,250.078751,28339.035958,44352.738375,-221.465317,0.000000000,0.000000000,-0.984926857,0.172971345,0,0,0,0,0
C9-C101_1,36.0806895,140.08065666666667,0,250.078755,28333.967914,44350.891330,-221.429940,0.000000000,0.000000000,-0.984926863,0.172971311,0,0,0,0,0
C9-C101_2,36.080673,140.08060033333334,0,250.078759,28328.899867,44349.044288,-221.394568,0.000000000,0.000000000,-0.984926869,0.172971276,0,0,0,0,0
C9-C101_3,36.0806565,140.080544,0,250.078762,28323.831818,44347.197250,-221.359200,0.000000000,0.000000000,-0.984926874,0.172971251,0,0,0,0,0
C9-C101_4,36.08064,140.08048766666667,0,250.078766,28318.763767,44345.350214,-221.323837,0.000000000,0.000000000,-0.984926880,0.172971216,0,0,0,0,0
C9-C101_5,36.0806235,140.08043133333334,0,250.078770,28313.695714,44343.503181,-221.288478,0.000000000,0.000000000,-0.984926886,0.172971182,0,0,0,0,0
C101,36.080607,140.080375,0,250.078770,28308.627659,44341.656150,-221.253124,0.000000000,0.000000000,-0.984926886,0.172971182,0,0,0,0,0
