label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C102,36.081955,140.081072,0,185.040555,28370.922511,44491.427583,-222.576035,0.000000000,0.000000000,-0.737516388,0.675329236,0,0,0,0,0
C102-C11_1,36.081905750000004,140.081066625,0,185.040558,28370.456084,44485.961387,-222.535709,0.000000000,0.000000000,-0.737516406,0.675329217,0,0,0,0,0
C102-C11_2,36.0818565,140.08106125,0,185.040561,28369.989656,44480.495191,-222.495388,0.000000000,0.000000000,-0.737516424,0.675329198,0,0,0,0,0
C102-C11_3,36.08180725,140.081055875,0,185.040564,28369.523227,44475.028995,-222.455071,0.000000000,0.000000000,-0.737516441,0.675329178,0,0,0,0,0
C102-C11_4,36.081758,140.0810505,0,185.040567,28369.056798,44469.562799,-222.414760,0.000000000,0.000000000,-0.737516459,0.675329159,0,0,0,0,0
C102-C11_5,36.081708750000004,140.081045125,0,185.040570,28368.590368,44464.096603,-222.374453,0.000000000,0.000000000,-0.737516477,0.675329140,0,0,0,0,0
C102-C11_6,36.0816595,140.08103975,0,185.040574,28368.123938,44458.630407,-222.334150,0.000000000,0.000000000,-0.737516500,0.675329114,0,0,0,0,0
C102-C11_7,36.08161025,140.081034375,0,185.040577,28367.657507,44453.164211,-222.293853,0.000000000,0.000000000,-0.737516518,0.675329095,0,0,0,0,0
C11,36.081561,140.081029,0,185.040577,28367.191075,44447.698016,-222.253560,0.000000000,0.000000000,-0.737516518,0.675329095,0,0,0,0,0
