label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C100,36.081946,140.079774,0,198.275522,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.810427915,0.585838368,0,0,0,0,0
C100-C1_1,36.081902222222226,140.0797561111111,0,198.275531,28252.420662,44485.192247,-222.006979,0.000000000,0.000000000,-0.810427961,0.585838305,0,0,0,0,0
C100-C1_2,36.08185844444445,140.0797382222222,0,198.275541,28250.825089,44480.329641,-221.965894,0.000000000,0.000000000,-0.810428013,0.585838234,0,0,0,0,0
C100-C1_3,36.081814666666666,140.0797203333333,0,198.275550,28249.229513,44475.467035,-221.924814,0.000000000,0.000000000,-0.810428059,0.585838170,0,0,0,0,0
C100-C1_4,36.08177088888889,140.07970244444442,0,198.275560,28247.633936,44470.604429,-221.883738,0.000000000,0.000000000,-0.810428110,0.585838100,0,0,0,0,0
C100-C1_5,36.081727111111114,140.07968455555556,0,198.275569,28246.038357,44465.741824,-221.842666,0.000000000,0.000000000,-0.810428156,0.585838036,0,0,0,0,0
C100-C1_6,36.08168333333334,140.07966666666667,0,198.275579,28244.442776,44460.879219,-221.801598,0.000000000,0.000000000,-0.810428207,0.585837965,0,0,0,0,0
C100-C1_7,36.081639555555554,140.07964877777778,0,198.275588,28242.847193,44456.016614,-221.760534,0.000000000,0.000000000,-0.810428253,0.585837902,0,0,0,0,0
C100-C1_8,36.08159577777778,140.0796308888889,0,198.275598,28241.251609,44451.154010,-221.719474,0.000000000,0.000000000,-0.810428304,0.585837831,0,0,0,0,0
C1,36.081552,140.079613,0,198.275598,28239.656023,44446.291406,-221.678418,0.000000000,0.000000000,-0.810428304,0.585837831,0,0,0,0,0
