label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C101,36.080607,140.080375,0,256.035779,28308.627659,44341.656150,-221.253124,0.000000000,0.000000000,-0.992584155,0.121559434,0,0,0,0,0
C101-C5_1,36.08059514285714,140.080316,0,256.035781,28303.317750,44340.323513,-221.220291,0.000000000,0.000000000,-0.992584157,0.121559417,0,0,0,0,0
C101-C5_2,36.08058328571428,140.080257,0,256.035783,28298.007839,44338.990880,-221.187462,0.000000000,0.000000000,-0.992584159,0.121559399,0,0,0,0,0
C101-C5_3,36.080571428571425,140.080198,0,256.035785,28292.697926,44337.658249,-221.154637,0.000000000,0.000000000,-0.992584161,0.121559382,0,0,0,0,0
C101-C5_4,36.08055957142857,140.080139,0,256.035787,28287.388012,44336.325621,-221.121818,0.000000000,0.000000000,-0.992584163,0.121559365,0,0,0,0,0
C101-C5_5,36.080547714285714,140.08008,0,256.035789,28282.078096,44334.992997,-221.089003,0.000000000,0.000000000,-0.992584165,0.121559347,0,0,0,0,0
C101-C5_6,36.080535857142856,140.080021,0,256.035791,28276.768179,44333.660376,-221.056193,0.000000000,0.000000000,-0.992584167,0.121559330,0,0,0,0,0
C5,36.080524,140.079962,0,256.035791,28271.458259,44332.327758,-221.023387,0.000000000,0.000000000,-0.992584167,0.121559330,0,0,0,0,0
