label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
6,36.0829415,140.0766762,0,92.396764,27974.647893,44599.626180,-221.585791,0.000000000,0.000000000,-0.020914187,0.999781274,2,2,0,0,0,-1,27.0343245704972,-6.96860012362449,26.7110338627112,-7.31517032275664,3.41787771412403,0.473949137215458
7,36.0829399,140.0767235,0,96.107455,27978.908669,44599.462119,-221.603308,0.000000000,0.000000000,-0.053272370,0.998580019,2,2,0,0,0,-1,31.2896442124964,-7.14671130860224,30.8192294867639,-7.60159033490462,3.85980586896877,0.654373702677439
8,36.082936,140.0767686,0,91.224787,27982.972112,44599.042233,-221.618169,0.000000000,0.000000000,-0.010688079,0.999942881,2,2,0,0,0,-1,35.3470420096709,-7.58085732302364,34.8335085510293,-8.05820867465985,4.39054657997938,0.701128323528106
9,36.0829352,140.0768149,0,99.135155,27987.142537,44598.966657,-221.635916,0.000000000,0.000000000,-0.079634855,0.996824102,2,2,0,0,0,-1,39.5123971774471,-7.66991291511703,38.8885567463026,-8.20265339229711,4.88735719946676,0.820359250302352
10,36.0829293,140.0768603,0,93.589097,27991.233709,44598.324946,-221.649347,0.000000000,0.000000000,-0.031315659,0.999509544,2,2,0,0,0,-1,43.5967843179113,-8.32669791135384,42.882586822918,-8.9034314228318,5.39762693871619,0.917986712930199
11,36.0829271,140.0769037,0,93.177959,27995.143435,44598.093207,-221.664862,0.000000000,0.000000000,-0.027729369,0.999615467,2,2,0,0,0,-1,47.5012425099294,-8.57160079079711,46.9010486898651,-9.1719684415261,5.93132055717385,0.848925166127896
12,36.082925,140.0769505,0,67.975434,27999.359356,44597.873536,-221.681806,0.000000000,0.000000000,0.191019431,0.981586255,2,2,0,0,0,-1,51.7115799122602,-8.80537172182194,50.9739536484584,-9.39226483532229,6.50268165740912,0.942621892236906
13,36.0829301,140.0769661,0,18.165211,28000.762606,44598.443865,-221.691960,0.000000000,0.000000000,0.586618251,0.809863586,2,2,0,0,0,-1,53.1150257147418,-8.23764231846948,52.4648302973796,-8.61080789891264,6.91346736357283,0.749671015303536
14,36.0829668,140.076981,0,358.976807,28002.091604,44602.520243,-221.726387,0.000000000,0.000000000,-0.713392297,-0.700764890,2,2,0,0,0,-1,54.4554963837331,-4.15221700607202,53.681783576182,-4.71195475773341,6.8863501666849,0.95495437545655
15,36.083003,140.0769802,0,0.866594,28002.006713,44606.536668,-221.754196,0.000000000,0.000000000,0.701739146,0.712433977,2,2,0,0,0,-1,54.3835248033319,-0.122451439721635,53.6456389510356,-0.562880953547574,7.02987622607065,0.859333280903284
