label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1000,36.082041,140.0810589,0,5.513787,2,2,0,0,1,-1,421.3216267439,-107.211801582989,,,,,,,,,,,,,,,,
1001,36.082077,140.0810632,0,34.024109,2,2,0,0,1,-1,421.708473984081,-103.204299914266,,,,,,,,,,,,,,,,
1002,36.0820934,140.0810769,0,90.623218,2,2,0,0,1,-1,422.940987285028,-101.378660265278,,,,,,,,,,,,,,,,
1003,36.082093,140.0811224,0,100.814382,2,2,0,0,1,-1,427.034370872403,-101.423188061325,,,,,,,,,,,,,,,,
1004,36.0820863,140.0811658,0,90.932738,2,2,0,0,1,-1,430.938829061864,-102.169028649655,,,,,,,,,,,,,,,,
1005,36.0820857,140.0812114,0,96.283858,2,2,0,0,1,-1,435.041209098707,-102.235820344121,,,,,,,,,,,,,,,,
1006,36.0820819,140.0812541,0,95.158623,2,2,0,0,1,-1,438.882692157235,-102.658834409333,,,,,,,,,,,,,,,,
1007,36.0820785,140.0813007,0,102.426600,2,2,0,0,1,-1,443.075036665744,-103.037320677707,,,,,,,,,,,,,,,,
1008,36.0820707,140.0813445,0,85.827608,2,2,0,0,1,-1,447.015480647963,-103.90561270655,,,,,,,,,,,,,,,,
1009,36.0820733,140.0813886,0,93.379703,2,2,0,0,1,-1,450.982913970914,-103.616182030269,,,,,,,,,,,,,,,,
1010,36.0820712,140.0814326,0,94.236537,2,2,0,0,1,-1,454.941350846954,-103.849952960503,,,,,,,,,,,,,,,,
1011,36.0820685,140.0814777,0,92.827215,2,2,0,0,1,-1,458.998748644129,-104.150515585993,,,,,,,,,,,,,,,,
1012,36.0820667,140.0815228,0,96.004800,2,2,0,0,1,-1,463.056146441303,-104.35089066939,,,,,,,,,,,,,,,,
1013,36.0820629,140.0815675,0,98.691333,2,2,0,0,1,-1,467.077558450834,-104.773904734602,,,,,,,,,,,,,,,,
1014,36.0820576,140.0816104,0,93.861149,2,2,0,0,1,-1,470.937034403184,-105.363898035582,,,,,,,,,,,,,,,,
1015,36.0820552,140.0816544,0,90.315074,2,2,0,0,1,-1,474.895471279224,-105.631064813444,,,,,,,,,,,,,,,,
1016,36.082055,140.0816994,0,99.025998,2,2,0,0,1,-1,478.943872629488,-105.653328711863,,,,,,,,,,,,,,,,
1017,36.0820493,140.0817438,0,86.475020,2,2,0,0,1,-1,482.938295295729,-106.28784980889,,,,,,,,,,,,,,,,
1018,36.0820516,140.08179,0,93.256032,2,2,0,0,1,-1,487.094654014038,-106.031814980237,,,,,,,,,,,,,,,,
1019,36.0820496,140.0818335,0,85.389818,2,2,0,0,1,-1,491.008108652966,-106.254453962053,,,,,,,,,,,,,,,,
1020,36.0820525,140.081878,0,91.183873,2,2,0,0,1,-1,495.011527766119,-105.931627438934,,,,,,,,,,,,,,,,
1021,36.0820517,140.0819259,0,84.088989,2,2,0,0,1,-1,499.32082609214,-106.020683031028,,,,,,,,,,,,,,,,
1022,36.0820558,140.0819749,0,93.932429,2,2,0,0,1,-1,503.729085341853,-105.564273118979,,,,,,,,,,,,,,,,
1023,36.0820532,140.0820217,0,87.178347,2,2,0,0,1,-1,507.939422744184,-105.853703795259,,,,,,,,,,,,,,,,
1024,36.0820551,140.0820694,0,90.443998,2,2,0,0,1,-1,512.230728176383,-105.642196762653,,,,,,,,,,,,,,,,
1025,36.0820548,140.0821173,0,96.363399,2,2,0,0,1,-1,516.540026502405,-105.675592609491,,,,,,,,,,,,,,,,
1026,36.0820506,140.0821639,0,88.190495,2,2,0,0,1,-1,520.732371010914,-106.14313447154,,,,,,,,,,,,,,,,
1027,36.0820518,140.0822109,0,88.654120,2,2,0,0,1,-1,524.960701312181,-106.009551082609,,,,,,,,,,,,,,,,
1028,36.0820527,140.0822583,0,88.909421,2,2,0,0,1,-1,529.225017401091,-105.909363540516,,,,,,,,,,,,,,,,
1029,36.0820534,140.0823038,0,86.149562,2,2,0,0,1,-1,533.318400988466,-105.831439896841,,,,,,,,,,,,,,,,
1030,36.082056,140.0823516,0,93.693747,2,2,0,0,1,-1,537.61870286502,-105.54200922056,,,,,,,,,,,,,,,,
1031,36.0820536,140.0823976,0,87.326633,2,2,0,0,1,-1,541.757068692063,-105.809175998422,,,,,,,,,,,,,,,,
1032,36.0820554,140.0824453,0,86.859220,2,2,0,0,1,-1,546.048374121706,-105.608800915025,,,,,,,,,,,,,,,,
