label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1024,36.0817421,140.0803295,0,167.287501,28304.122624,44467.590593,-222.112802,0.000000000,0.000000000,-0.624476176,0.781043856,2,2,0,0,1,-1,355.701539081475,-140.485197380776,,,,,,,,,,,,,,,,
1025,36.0817052,140.0803398,0,170.719760,28305.063562,44463.499239,-222.088355,0.000000000,0.000000000,-0.647586493,0.761991951,2,2,0,0,1,-1,356.628173166995,-144.592886590801,,,,,,,,,,,,,,,,
1026,36.0816686,140.0803472,0,173.243295,28305.743193,44459.440336,-222.062981,0.000000000,0.000000000,-0.664208698,0.747547192,2,2,0,0,1,-1,357.293910279314,-148.667179953989,,,,,,,,,,,,,,,,
1027,36.0816304,140.0803528,0,185.751977,28306.261273,44455.203383,-222.035647,0.000000000,0.000000000,-0.741694814,0.670737507,2,2,0,0,1,-1,357.797711334451,-152.919584502155,,,,,,,,,,,,,,,,
1028,36.0815959,140.0803485,0,182.599634,28305.886341,44451.374120,-222.007208,0.000000000,0.000000000,-0.722964939,0.690884720,2,2,0,0,1,-1,357.410864094269,-156.760106935109,,,,,,,,,,,,,,,,
1029,36.0815603,140.0803465,0,182.612197,28305.718963,44447.423466,-221.978843,0.000000000,0.000000000,-0.723040679,0.690805455,2,2,0,0,1,-1,357.230935145823,-160.723080806994,,,,,,,,,,,,,,,,
1030,36.0815231,140.0803444,0,182.280506,28305.543150,44443.295252,-221.949202,0.000000000,0.000000000,-0.721038081,0.692895436,2,2,0,0,1,-1,357.042009750466,-164.864165864648,,,,,,,,,,,,,,,,
1031,36.0814886,140.0803427,0,184.989862,28305.402398,44439.466737,-221.921814,0.000000000,0.000000000,-0.737217564,0.675655432,2,2,0,0,1,-1,356.889070142753,-168.704688296811,,,,,,,,,,,,,,,,
1032,36.0814525,140.0803388,0,183.920012,28305.064066,44435.460058,-221.892307,0.000000000,0.000000000,-0.730877470,0.682508698,2,2,0,0,1,-1,356.538208692772,-172.723321914743,,,,,,,,,,,,,,,,
1033,36.0814124,140.0803354,0,182.654964,28304.772202,44431.009693,-221.859908,0.000000000,0.000000000,-0.723298445,0.690535559,2,2,0,0,1,-1,356.232329479902,-177.187233495515,,,,,,,,,,,,,,,,
1034,36.0813758,140.0803333,0,185.337730,28304.596174,44426.948053,-221.830741,0.000000000,0.000000000,-0.739265265,0.673414336,2,2,0,0,1,-1,356.043404084545,-181.261526858703,,,,,,,,,,,,,,,,
1035,36.0813412,140.0803293,0,183.852967,28304.248297,44423.107780,-221.802363,0.000000000,0.000000000,-0.730478024,0.682936202,2,2,0,0,1,-1,355.683546185096,-185.113181240075,,,,,,,,,,,,,,,,
1036,36.081304,140.0803262,0,178.534184,28303.982413,44418.979278,-221.772336,0.000000000,0.000000000,-0.698004110,0.716093753,2,2,0,0,1,-1,355.404656315516,-189.254266297729,,,,,,,,,,,,,,,,
1037,36.0812661,140.0803274,0,176.651946,28304.104080,44414.774345,-221.743496,0.000000000,0.000000000,-0.686148192,0.727461792,2,2,0,0,1,-1,355.512613683561,-193.473274998266,,,,,,,,,,,,,,,,
