label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1024,36.0820551,140.0820694,0,90.443998,28460.721196,44502.822926,-223.055416,0.000000000,0.000000000,-0.003874604,0.999992494,2,2,0,0,1,-1,512.230728176383,-105.642196762653,,,,,,,,,,,,,,,,
1025,36.0820548,140.0821173,0,96.363399,28465.035601,44502.803518,-223.074512,0.000000000,0.000000000,-0.055502596,0.998458543,2,2,0,0,1,-1,516.540026502405,-105.675592609491,,,,,,,,,,,,,,,,
1026,36.0820506,140.0821639,0,88.190495,28469.234322,44502.351003,-223.090063,0.000000000,0.000000000,0.015790254,0.999875326,2,2,0,0,1,-1,520.732371010914,-106.14313447154,,,,,,,,,,,,,,,,
1027,36.0820518,140.0822109,0,88.654120,28473.467124,44502.497774,-223.109964,0.000000000,0.000000000,0.011744749,0.999931028,2,2,0,0,1,-1,524.960701312181,-106.009551082609,,,,,,,,,,,,,,,,
1028,36.0820527,140.0822583,0,88.909421,28477.736062,44502.611376,-223.129797,0.000000000,0.000000000,0.009516953,0.999954713,2,2,0,0,1,-1,529.225017401091,-105.909363540516,,,,,,,,,,,,,,,,
1029,36.0820534,140.0823038,0,86.149562,28481.833941,44502.702238,-223.148710,0.000000000,0.000000000,0.033595088,0.999435526,2,2,0,0,1,-1,533.318400988466,-105.831439896841,,,,,,,,,,,,,,,,
1030,36.082056,140.0823516,0,93.693747,28486.138293,44503.004587,-223.170027,0.000000000,0.000000000,-0.032228442,0.999480529,2,2,0,0,1,-1,537.61870286502,-105.54200922056,,,,,,,,,,,,,,,,
1031,36.0820536,140.0823976,0,87.326633,28490.282324,44502.751630,-223.186745,0.000000000,0.000000000,0.023327412,0.999727879,2,2,0,0,1,-1,541.757068692063,-105.809175998422,,,,,,,,,,,,,,,,
1032,36.0820554,140.0824453,0,86.859220,28494.577957,44502.965189,-223.207408,0.000000000,0.000000000,0.027405045,0.999624411,2,2,0,0,1,-1,546.048374121706,-105.608800915025,,,,,,,,,,,,,,,,
1033,36.0820574,140.0824904,0,95.641395,28498.639339,44503.200187,-223.227178,0.000000000,0.000000000,-0.049210575,0.998788426,2,2,0,0,1,-1,550.105771918881,-105.386161934001,,,,,,,,,,,,,,,,
1034,36.0820536,140.082538,0,90.154779,28502.927986,44502.792360,-223.243466,0.000000000,0.000000000,-0.001350701,0.999999088,2,2,0,0,1,-1,554.388080904169,-105.809175998422,,,,,,,,,,,,,,,,
1035,36.0820535,140.0825838,0,84.844495,28507.053174,44502.794555,-223.261897,0.000000000,0.000000000,0.044975092,0.998988109,2,2,0,0,1,-1,558.508453832277,-105.820307947631,,,,,,,,,,,,,,,,
1036,36.082057,140.0826318,0,85.421541,28511.375214,44503.196836,-223.284010,0.000000000,0.000000000,0.039943963,0.999201921,2,2,0,0,1,-1,562.826748607767,-105.430689730047,,,,,,,,,,,,,,,,
1037,36.0820601,140.0826797,0,93.408862,28515.688391,44503.554707,-223.305775,0.000000000,0.000000000,-0.029743545,0.999557563,2,2,0,0,1,-1,567.136046933789,-105.08559930851,,,,,,,,,,,,,,,,
1038,36.0820579,140.0827254,0,41.772663,28519.805330,44503.323869,-223.322546,0.000000000,0.000000000,0.408548215,0.912736740,2,2,0,0,1,-1,571.247423414985,-105.330502188745,,,,,,,,,,,,,,,,
1039,36.0820788,140.0827485,0,7.183987,28521.878371,44505.649582,-223.348087,0.000000000,0.000000000,0.661416679,0.750018651,2,2,0,0,1,-1,573.32560277414,-103.00392483087,,,,,,,,,,,,,,,,
1040,36.0821115,140.0827536,0,8.000622,28522.325911,44509.279364,-223.375499,0.000000000,0.000000000,0.656054932,0.754713141,2,2,0,0,1,-1,573.784421594723,-99.3637774821031,,,,,,,,,,,,,,,,
1041,36.0821414,140.0827588,0,12.687689,28522.783469,44512.598495,-223.400782,0.000000000,0.000000000,0.624645264,0.780908634,2,2,0,0,1,-1,574.252236862216,-96.0353247072452,,,,,,,,,,,,,,,,
1042,36.0821694,140.0827666,0,357.703659,28523.475892,44515.707562,-223.425646,0.000000000,0.000000000,-0.721133823,-0.692795792,2,2,0,0,1,-1,574.953959762179,-92.9183789649934,,,,,,,,,,,,,,,,
1043,36.0821956,140.0827653,0,359.775220,28523.349339,44518.614264,-223.445435,0.000000000,0.000000000,-0.708492463,-0.705718378,2,2,0,0,1,-1,574.837005947223,-90.0018083061381,,,,,,,,,,,,,,,,
1044,36.0822368,140.0827651,0,4.990130,28523.316444,44523.185644,-223.477303,0.000000000,0.000000000,0.675653708,0.737219144,2,2,0,0,1,-1,574.819013050844,-85.4154452856447,,,,,,,,,,,,,,,,
1045,36.0822766,140.0827694,0,324.858607,28523.689364,44527.602990,-223.509907,0.000000000,0.000000000,-0.887579903,-0.460653791,2,2,0,0,1,-1,575.205860291026,-80.9849295517101,,,,,,,,,,,,,,,,
1046,36.0822952,140.0827532,0,258.182329,28522.223535,44529.662091,-223.517783,0.000000000,0.000000000,-0.994686954,0.102945927,2,2,0,0,1,-1,573.748435804522,-78.9143870232789,,,,,,,,,,,,,,,,
1047,36.0822894,140.0827189,0,235.983649,28519.136279,44529.008580,-223.499416,0.000000000,0.000000000,-0.956263028,0.292508156,2,2,0,0,1,-1,570.662654332536,-79.5600400695153,,,,,,,,,,,,,,,,
1048,36.0822864,140.0827134,0,155.476287,28518.641985,44528.674112,-223.494865,0.000000000,0.000000000,-0.540800419,0.841150941,2,2,0,0,1,-1,570.167849721752,-79.8939985418429,,,,,,,,,,,,,,,,
1049,36.0822802,140.0827169,0,106.440719,28518.959464,44527.987193,-223.491472,0.000000000,0.000000000,-0.142980632,0.989725487,2,2,0,0,1,-1,570.482725381533,-80.584179384917,,,,,,,,,,,,,,,,
1050,36.0822714,140.0827538,0,175.137512,28522.286172,44527.021483,-223.499566,0.000000000,0.000000000,-0.676474467,0.736466085,2,2,0,0,1,-1,573.802414491101,-81.563790904272,,,,,,,,,,,,,,,,
1051,36.0822676,140.0827542,0,133.562162,28522.323572,44526.599962,-223.496781,0.000000000,0.000000000,-0.371061230,0.928608401,2,2,0,0,1,-1,573.838400278745,-81.986804968693,,,,,,,,,,,,,,,,
1052,36.0822583,140.0827663,0,180.890406,28523.416761,44525.571573,-223.494461,0.000000000,0.000000000,-0.712579782,0.701591088,2,2,0,0,1,-1,574.926970421446,-83.0220762333042,,,,,,,,,,,,,,,,
1053,36.0822531,140.0827662,0,182.468065,28523.409632,44524.994566,-223.490388,0.000000000,0.000000000,-0.722171219,0.691714341,2,2,0,0,1,-1,574.917973971978,-83.600937585866,,,,,,,,,,,,,,,,
1054,36.0822456,140.0827658,0,204.942216,28523.376314,44524.162271,-223.484410,0.000000000,0.000000000,-0.843120400,0.537724829,2,2,0,0,1,-1,574.881988184334,-84.4358337662896,,,,,,,,,,,,,,,,
1055,36.082235,140.0827597,0,174.603754,28522.830724,44522.984353,-223.473723,0.000000000,0.000000000,-0.673036743,0.739609047,2,2,0,0,1,-1,574.333204889529,-85.6158203690412,,,,,,,,,,,,,,,,
1056,36.0822273,140.0827606,0,196.069658,28522.914567,44522.130244,-223.468116,0.000000000,0.000000000,-0.799001194,0.601329437,2,2,0,0,1,-1,574.414172916841,-86.4729804478837,,,,,,,,,,,,,,,,
1057,36.0822172,140.082757,0,183.503573,28522.593968,44521.008530,-223.458828,0.000000000,0.000000000,-0.728392334,0.685160279,2,2,0,0,1,-1,574.090300807592,-87.5973073053791,,,,,,,,,,,,,,,,
1058,36.082204,140.082756,0,188.693062,28522.508667,44519.543604,-223.448188,0.000000000,0.000000000,-0.758663668,0.651482493,2,2,0,0,1,-1,574.000336333369,-89.0667245836207,,,,,,,,,,,,,,,,
1059,36.0821929,140.0827539,0,199.406369,28522.323532,44518.311370,-223.438732,0.000000000,0.000000000,-0.816169706,0.577812263,2,2,0,0,1,-1,573.811410938012,-90.3023709316284,,,,,,,,,,,,,,,,
1060,36.082189,140.0827522,0,186.912009,28522.171824,44517.878143,-223.435020,0.000000000,0.000000000,-0.748446696,0.663194951,2,2,0,0,1,-1,573.658471330299,-90.7365169452589,,,,,,,,,,,,,,,,
1061,36.082173,140.0827498,0,196.076232,28521.961438,44516.102130,-223.421644,0.000000000,0.000000000,-0.799035691,0.601283598,2,2,0,0,1,-1,573.442556591652,-92.5176287982002,,,,,,,,,,,,,,,,
1062,36.0821601,140.0827452,0,183.512423,28521.551781,44514.669446,-223.409782,0.000000000,0.000000000,-0.728445247,0.685104023,2,2,0,0,1,-1,573.028720010738,-93.9536502296045,,,,,,,,,,,,,,,,
1063,36.0821522,140.0827446,0,167.838033,28521.500593,44513.792710,-223.403414,0.000000000,0.000000000,-0.628221322,0.778034684,2,2,0,0,1,-1,572.974741324158,-94.8330742068658,,,,,,,,,,,,,,,,
1064,36.0821447,140.0827466,0,161.362063,28521.683439,44512.961112,-223.398408,0.000000000,0.000000000,-0.583272329,0.812276671,2,2,0,0,1,-1,573.154670275161,-95.6679703872893,,,,,,,,,,,,,,,,
1065,36.0820062,140.0828044,0,290.149192,28526.939442,44497.610320,-223.314419,0.000000000,0.000000000,-0.984580838,-0.174930196,2,2,0,0,1,-1,578.354616896502,-111.08571986278,,,,,,,,,,,,,,,,
