label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C2,35.6497904,139.5027666,0,90.000000,1.5,1.5,0,0,1
C2-C3_1,35.6497904,139.5027668,0,103.919390,1.5,1.5,0,0,1
C2-C3_2,35.6497817,139.50281,0,117.926620,1.5,1.5,0,0,1
C2-C3_3,35.6497646,139.5028497,0,149.983879,1.5,1.5,0,0,1
C2-C3_4,35.6497345,139.5028711,0,179.617335,1.5,1.5,0,0,1
C2-C3_5,35.649698,139.5028714,0,186.864491,1.5,1.5,0,0,1
C3,35.6496953,139.502871,0,186.864491,1.5,1.5,0,0,1
