label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,35.6496245,139.5026544,0,181.767477,-23856.319019,-3491.595446,-49.383487,0.000000000,0.000000000,-0.717928757,0.696116585,1.5,1.5,0,0,1
C7-C6_1,35.6496166,139.5026541,0,178.974030,-23856.348536,-3492.471895,-49.384079,0.000000000,0.000000000,-0.700747602,0.713409279,1.5,1.5,0,0,1
C7-C6_2,35.6495803,139.5026549,0,150.135510,-23856.286881,-3496.499650,-49.386063,0.000000000,0.000000000,-0.501023767,0.865433524,1.5,1.5,0,0,1
C7-C6_3,35.6495486,139.5026773,0,120.819049,-23854.267763,-3500.022272,-49.380458,0.000000000,0.000000000,-0.265716379,0.964051246,1.5,1.5,0,0,1
C7-C6_4,35.6495295,139.5027167,0,103.414035,-23850.705378,-3502.151024,-49.368323,0.000000000,0.000000000,-0.116792378,0.993156352,1.5,1.5,0,0,1
C6,35.6495245,139.5027425,0,103.414035,-23848.370416,-3502.712049,-49.359911,0.000000000,0.000000000,-0.116792378,0.993156352,1.5,1.5,0,0,1
