label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C6,35.6495245,139.5027425,0,87.082011,-23848.370416,-3502.712049,-49.359911,0.000000000,0.000000000,0.025461506,0.999675803,1.5,1.5,0,0,1
C6-C5_1,35.6495252,139.5027594,0,75.989252,-23846.839744,-3502.638485,-49.354154,0.000000000,0.000000000,0.121962438,0.992534717,1.5,1.5,0,0,1
C6-C5_2,35.649534,139.5028028,0,47.644217,-23842.906826,-3501.672642,-49.338935,0.000000000,0.000000000,0.361264791,0.932463270,1.5,1.5,0,0,1
C6-C5_3,35.6495583,139.5028356,0,24.040894,-23839.929239,-3498.984466,-49.326338,0.000000000,0.000000000,0.544339706,0.838864878,1.5,1.5,0,0,1
C6-C5_4,35.649592,139.5028541,0,17.639237,-23838.243868,-3495.249870,-49.317991,0.000000000,0.000000000,0.590329324,0.807162493,1.5,1.5,0,0,1
C5,35.6495943,139.502855,0,17.639237,-23838.161681,-3494.994899,-49.317544,0.000000000,0.000000000,0.590329324,0.807162493,1.5,1.5,0,0,1
